#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 06 12 53 999 99.0 99.0 99.00 99.00 99.00 999 1019.4  -1.1 999.0 999.0 99.0 99.00
2017 01 06 13 02 999 99.0 99.0 99.00 99.00 99.00 999 1019.4  -1.2 999.0 999.0 99.0 99.00
2017 01 06 13 11 999 99.0 99.0 99.00 99.00 99.00 999 1019.3  -1.7 999.0 999.0 99.0 99.00
2017 01 06 13 29 999 99.0 99.0 99.00 99.00 99.00 999 1019.2  -1.5 999.0 999.0 99.0 99.00
2017 01 06 13 38 999 99.0 99.0 99.00 99.00 99.00 999 1019.2  -2.0 999.0 999.0 99.0 99.00
2017 01 06 13 46 999 99.0 99.0 99.00 99.00 99.00 999 1019.2  -2.1 999.0 999.0 99.0 99.00
2017 01 06 13 55 999 99.0 99.0 99.00 99.00 99.00 999 1019.1  -2.0 999.0 999.0 99.0 99.00
2017 01 06 14 04 999 99.0 99.0 99.00 99.00 99.00 999 1019.0  -2.1 999.0 999.0 99.0 99.00
2017 01 06 14 13 999 99.0 99.0 99.00 99.00 99.00 999 1019.1  -2.2 999.0 999.0 99.0 99.00
2017 01 06 14 22 999 99.0 99.0 99.00 99.00 99.00 999 1019.0  -2.3 999.0 999.0 99.0 99.00
2017 01 06 14 31 999 99.0 99.0 99.00 99.00 99.00 999 1019.0  -2.1 999.0 999.0 99.0 99.00
2017 01 06 14 49 999 99.0 99.0 99.00 99.00 99.00 999 1018.8  -2.1 999.0 999.0 99.0 99.00
2017 01 06 14 57 999 99.0 99.0 99.00 99.00 99.00 999 1018.8  -2.0 999.0 999.0 99.0 99.00
2017 01 06 15 06 999 99.0 99.0 99.00 99.00 99.00 999 1018.7  -2.0 999.0 999.0 99.0 99.00
2017 01 06 15 15 999 99.0 99.0 99.00 99.00 99.00 999 1018.5  -1.8 999.0 999.0 99.0 99.00
2017 01 06 15 24 999 99.0 99.0 99.00 99.00 99.00 999 1018.4  -1.5 999.0 999.0 99.0 99.00
2017 01 06 15 33 999 99.0 99.0 99.00 99.00 99.00 999 1018.6  -1.5 999.0 999.0 99.0 99.00
2017 01 06 15 42 999 99.0 99.0 99.00 99.00 99.00 999 1018.6  -1.9 999.0 999.0 99.0 99.00
2017 01 06 15 51 999 99.0 99.0 99.00 99.00 99.00 999 1018.5  -1.9 999.0 999.0 99.0 99.00
2017 01 06 16 08 999 99.0 99.0 99.00 99.00 99.00 999 1018.4  -2.1 999.0 999.0 99.0 99.00
2017 01 06 16 17 999 99.0 99.0 99.00 99.00 99.00 999 1018.4  -1.8 999.0 999.0 99.0 99.00
